apple                | quả táo              
banana               | quả chuối            
cat                  | con mèo              
coconut              | quả dừa              
dog                  | con chó              
elephant             | con voi              
fish                 | con cá               
giraffe              | con hươu cao cổ      
horse                | con ngựa             
ice cream            | kem                  
juice                | nước ép              
kangaroo             | con chuột túi        
lion                 | con sư tử            
monkey               | con khỉ              
moon                 | mặt trăng            
nest                 | tổ chim              
orange               | quả cam              
peanut               | đậu phộng            
penguin              | chim cánh cụt        
queen                | nữ hoàng             
rabbit               | con thỏ              
sun                  | mặt trời             
tiger                | con hổ               
zebra                | con ngựa vằn         
